sex,test,test_name,short_name,long_name,system,unit,unit_source,unit_confidence,nhanes_name,age_bin,age_lo,age_hi,age_mid,scale_type,axis_column,is_log_scale,stats_n_total,n_age_years_present,age_years_present,density_points_used,weighting_method,has_density_data,raw_min,raw_max,q0,q1,q2,q3,q4,raw_q0,raw_q1,raw_q2,raw_q3,raw_q4
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,20-24,20,24,22.0,log,log_x,True,1822.0,5,20|21|22|23|24,150,stats_n,True,0.5,77.379997253418,-0.6931471805599453,1.8899261570927255,2.1050183922179952,2.3008079320822152,4.348728313777639,0.5,6.618879905661867,8.207253957811602,9.982244173035701,77.379997253418
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,20-24,20,24,22.0,regular,x,False,1822.0,5,20|21|22|23|24,150,stats_n,True,0.5,77.379997253418,0.5,6.635173978165524,8.234074164887126,9.993881532214802,77.379997253418,0.5,6.635173978165524,8.234074164887126,9.993881532214802,77.379997253418
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,25-29,25,29,27.0,log,log_x,True,1650.0,5,25|26|27|28|29,150,stats_n,True,0.5,89.4000015258789,-0.6931471805599453,1.727044342408747,1.960572497963884,2.1774968785455355,4.493120699247465,0.5,5.6240066807557225,7.103392579084565,8.824190570406234,89.4000015258789
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,25-29,25,29,27.0,regular,x,False,1650.0,5,25|26|27|28|29,150,stats_n,True,0.5,89.4000015258789,0.5,5.638778205729251,7.134703714286047,8.838344872129499,89.4000015258789,0.5,5.638778205729251,7.134703714286047,8.838344872129499,89.4000015258789
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,30-34,30,34,32.0,log,log_x,True,1390.0,5,30|31|32|33|34,150,stats_n,True,0.5,97.1999969482422,-0.6931471805599453,1.6501279564909324,1.8773371858122516,2.1072216941890085,4.576770680069708,0.5,5.207646136675294,6.536077309928958,8.22535695249191,97.1999969482422
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,30-34,30,34,32.0,regular,x,False,1390.0,5,30|31|32|33|34,150,stats_n,True,0.5,97.1999969482422,0.5,5.213073166775538,6.5743994820541225,8.24338374199953,97.1999969482422,0.5,5.213073166775538,6.5743994820541225,8.24338374199953,97.1999969482422
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,35-39,35,39,37.0,log,log_x,True,1229.0,5,35|36|37|38|39,150,stats_n,True,0.5,71.2900009155274,-0.6931471805599453,1.619493326512305,1.8483503768004628,2.052984665301353,4.266756077971834,0.5,5.050530698169684,6.349336865366928,7.7911203247640985,71.2900009155274
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,35-39,35,39,37.0,regular,x,False,1229.0,5,35|36|37|38|39,150,stats_n,True,0.5,71.2900009155274,0.5,5.067517657919562,6.383273630556468,7.797309214706543,71.2900009155274,0.5,5.067517657919562,6.383273630556468,7.797309214706543,71.2900009155274
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,40-44,40,44,42.0,log,log_x,True,884.0,5,40|41|42|43|44,150,stats_n,True,0.5,52.7000007629395,-0.6931471805599453,1.5980664988362225,1.8276783066202413,2.0488099719145216,3.9646154700243468,0.5,4.943464982748696,6.219430273280053,7.758662583965849,52.7000007629395
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,40-44,40,44,42.0,regular,x,False,884.0,5,40|41|42|43|44,150,stats_n,True,0.5,52.7000007629395,0.5,4.9628112846658485,6.259103151399463,7.779543271738853,52.7000007629395,0.5,4.9628112846658485,6.259103151399463,7.779543271738853,52.7000007629395
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,45-49,45,49,47.0,log,log_x,True,657.0,5,45|46|47|48|49,150,stats_n,True,0.5,32.0999984741211,-0.6931471805599453,1.60705398283644,1.8579319830864052,2.0669165673364827,3.4688559826008007,0.5,4.988094548529109,6.4104661018514575,7.900425093558289,32.0999984741211
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,45-49,45,49,47.0,regular,x,False,657.0,5,45|46|47|48|49,150,stats_n,True,0.5,32.0999984741211,0.433915368089016,5.001591006034133,6.458391937603246,7.90856037920598,32.0999984741211,0.433915368089016,5.001591006034133,6.458391937603246,7.90856037920598,32.0999984741211
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,50-54,50,54,52.0,log,log_x,True,537.0,5,50|51|52|53|54,150,stats_n,True,0.5,20.7999992370605,-0.6931471805599453,1.5567685485103184,1.7956261951501833,2.020600800495468,3.034952950027488,0.5,4.74346816486328,6.023245268110392,7.542855323811114,20.7999992370605
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,50-54,50,54,52.0,regular,x,False,537.0,5,50|51|52|53|54,150,stats_n,True,0.5,20.7999992370605,-0.847014536365642,4.765226386341357,6.076055756928925,7.559968370454885,20.7999992370605,-0.847014536365642,4.765226386341357,6.076055756928925,7.559968370454885,20.7999992370605
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,55-59,55,59,57.0,log,log_x,True,566.0,5,55|56|57|58|59,150,stats_n,True,0.5,58.5999984741211,-0.6931471805599453,1.427635673298581,1.6954791180162223,1.9554415859226397,4.070734670544078,0.5,4.1688310521966505,5.449256176672452,7.0670390397276215,58.5999984741211
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,55-59,55,59,57.0,regular,x,False,566.0,5,55|56|57|58|59,150,stats_n,True,0.5,58.5999984741211,-0.810248983375185,4.195910818281034,5.5087480971226235,7.104619035309377,58.5999984741211,-0.810248983375185,4.195910818281034,5.5087480971226235,7.104619035309377,58.5999984741211
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,60-64,60,64,62.0,log,log_x,True,539.0,5,60|61|62|63|64,150,stats_n,True,0.5,68.3000030517578,-0.6931471805599453,1.6145724670184418,1.8315175599879259,2.067592095177661,4.22390981125841,0.5,5.025738794998276,6.243354137403569,7.905763853703668,68.3000030517578
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,60-64,60,64,62.0,regular,x,False,539.0,5,60|61|62|63|64,150,stats_n,True,0.5,68.3000030517578,-0.769338085606716,5.032936461615699,6.30183416467049,7.932029939705725,68.3000030517578,-0.769338085606716,5.032936461615699,6.30183416467049,7.932029939705725,68.3000030517578
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,65-69,65,69,67.0,log,log_x,True,496.0,5,65|66|67|68|69,150,stats_n,True,0.5,27.5,-0.6931471805599453,1.5784983800235042,1.8323541673150063,2.039809834563343,3.3141860046725258,0.5,4.847670983496562,6.248579558728584,7.68914684987106,27.5
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,65-69,65,69,67.0,regular,x,False,496.0,5,65|66|67|68|69,150,stats_n,True,0.5,27.5,0.177877930681255,4.870553854767896,6.305792844622173,7.6875624319215925,27.5,0.177877930681255,4.870553854767896,6.305792844622173,7.6875624319215925,27.5
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,70-74,70,74,72.0,log,log_x,True,424.0,5,70|71|72|73|74,150,stats_n,True,0.5,44.4000015258789,-0.6931471805599453,1.4344348457827325,1.8028040464986945,2.108535496930781,3.7932395038048203,0.5,4.197272232255668,6.066634762660488,8.236170550920356,44.4000015258789
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,70-74,70,74,72.0,regular,x,False,424.0,5,70|71|72|73|74,150,stats_n,True,0.5,44.4000015258789,-3.24193315293702,4.2754940644548265,6.1233115925159165,8.247057311900322,44.4000015258789,-3.24193315293702,4.2754940644548265,6.1233115925159165,8.247057311900322,44.4000015258789
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,75-79,75,79,77.0,log,log_x,True,311.0,3,75|76|77,90,stats_n,True,0.600000023841858,22.5,-0.5108255840295615,1.6192451987088268,1.7805974712274042,2.0367429153082286,3.46001991970544,0.600000023841858,5.049277676542329,5.933400395790671,7.665600982434919,31.817610305780306
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,75-79,75,79,77.0,regular,x,False,311.0,3,75|76|77,90,stats_n,True,0.600000023841858,22.5,-2.44110519393113,5.030334055069104,5.9987892366418025,7.739508701630943,22.5,-2.44110519393113,5.030334055069104,5.9987892366418025,7.739508701630943,22.5
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,80-84,80,84,82.0,log,log_x,True,233.0,1,80,30,stats_n,True,0.600000023841858,27.7000007629395,-0.5108255840295615,1.1630768292772558,1.4370751616744086,1.7945574096548695,3.321432440736235,0.600000023841858,3.1997632710658133,4.20836899987158,6.016811149891708,27.7000007629395
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,80-84,80,84,82.0,regular,x,False,233.0,1,80,30,stats_n,True,0.600000023841858,27.7000007629395,-0.0731824018877365,3.163574803771241,4.331851718181834,6.171287012268013,27.7000007629395,-0.0731824018877365,3.163574803771241,4.331851718181834,6.171287012268013,27.7000007629395
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,85-89,85,89,87.0,log,log_x,True,127.0,0,,0,none,False,0.699999988079071,22.7999992370606,,,,,,,,,,
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,85-89,85,89,87.0,regular,x,False,127.0,0,,0,none,False,0.699999988079071,22.7999992370606,,,,,,,,,,
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,90-94,90,94,92.0,log,log_x,True,51.0,0,,0,none,False,1.69000005722046,12.1999998092651,,,,,,,,,,
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,90-94,90,94,92.0,regular,x,False,51.0,0,,0,none,False,1.69000005722046,12.1999998092651,,,,,,,,,,
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,95-99,95,99,97.0,log,log_x,True,14.0,0,,0,none,False,3.09999990463257,9.80000019073486,,,,,,,,,,
female,lab.104300.no_meds,DEOXYCORTISOL_11,11-DOC,11-Deoxycortisol,AdrenalPituitary,,manual_clinical_override,low,,95-99,95,99,97.0,regular,x,False,14.0,0,,0,none,False,3.09999990463257,9.80000019073486,,,,,,,,,,
