Test Name (Clalit),Test Name (NHANES),Clalit ID,NHANES ID,In Clalit,In NHANES,Mapping Status
Creatine kinase,,lab.22500.no_meds,,V,,Unmapped
Phosphatase alkaline,Alkaline phosphatase (U/L),lab.21800.no_meds,alkaline phosphatase,V,V,Auto-Mapped
PTH,,lab.103500.no_meds,,V,,Unmapped
Phosphorus,Phosphorus (mg/dL),lab.20900.no_meds,phosphorus__mg/dl,V,V,Auto-Mapped
LDH,LDH (U/L),lab.22300.no_meds,ldh,V,V,Mapped (Existing)
Vitamin D3 25OH,,lab.27300.no_meds,,V,,Unmapped
height,,marker.height.no_meds,,V,,Unmapped
weight,Total dust weight (mg),marker.weight.no_meds,total dust weight,V,V,Auto-Mapped
BMI,,marker.BMI.no_meds,,V,,Unmapped
Estradiol,Estradiol (pg/mL),lab.100500.no_meds,estradiol__pg/ml,V,V,Auto-Mapped
Testosterone_T,Testosterone (ng/mL),lab.101100.no_meds,testosterone,V,V,Auto-Mapped
Progesterone,Progesterone (ng/dL),lab.100600.no_meds,progesterone__ng/dl,V,V,Auto-Mapped
Prolactin,,lab.101000.no_meds,,V,,Unmapped
LH,Luteinizing hormone (IU/L),lab.100800.no_meds,luteinizing hormone,V,V,Auto-Mapped
FSH,Follicle stimulating hormone (IU/L),lab.100900.no_meds,follicle stimulating hormone,V,V,Auto-Mapped
DHEA-S,,lab.101500.no_meds,,V,,Unmapped
Androstenedione,Androstenedione (ng/dL),lab.101300.no_meds,androstenedione__ng/dl,V,V,Auto-Mapped
17α-OHP,,lab.100700.no_meds,,V,,Unmapped
TSH,Thyroid stimulating hormone,lab.102100.no_meds,thyroid stimulating hormone__raw_,V,V,Mapped (Existing)
Free T4,Free T3,lab.102500.no_meds,free t3,V,V,Mapped (Existing)
Free T3,Free T3,lab.102300.no_meds,free t3,V,V,Mapped (Existing)
Total T3,Total T3,lab.102200.no_meds,total t3,V,V,Mapped (Existing)
Thyroglobulin,Thyroglobulin,lab.102600.no_meds,thyroglobulin__raw_,V,V,Mapped (Existing)
Cortisol,,lab.101600.no_meds,,V,,Unmapped
Cortisol urine 24 h,,lab.101701.no_meds,,V,,Unmapped
Cortisol urine free samp,,lab.101702.no_meds,,V,,Unmapped
ACTH,,lab.104400.no_meds,,V,,Unmapped
Aldosterone,,lab.103200.no_meds,,V,,Unmapped
11-Deoxycortisol,,lab.104300.no_meds,,V,,Unmapped
Growth Hormone,Luteinizing hormone (IU/L),lab.101900.no_meds,luteinizing hormone,V,V,Auto-Mapped
IGF-1,,lab.102800.no_meds,,V,,Unmapped
ACE,,lab.103000.no_meds,,V,,Unmapped
Albumin,Albumin,lab.21100.no_meds,albumin__raw_,V,V,Mapped (Existing)
Bilirubin direct,Total bilirubin (mg/dL),lab.23400.no_meds,total bilirubin,V,V,Auto-Mapped
Bilirubin indirect,Total bilirubin (mg/dL),lab.36200.no_meds,total bilirubin,V,V,Auto-Mapped
Bilirubin total,Total bilirubin (mg/dL),lab.23300.no_meds,total bilirubin,V,V,Auto-Mapped
GGT,Gamma glutamyl transferase (U/L),lab.22200.no_meds,gamma glutamyl transferase,V,V,Auto-Mapped
Globulin,Globulin (g/L),lab.36400.no_meds,globulin,V,V,Mapped (Existing)
Total Protein,Total_Protein,lab.21000.no_meds,total protein__raw_,V,V,Mapped (Existing)
AST (GOT),,lab.22000.no_meds,,V,,Unmapped
ALT (GPT),,lab.22100.no_meds,,V,,Unmapped
Amylase,,lab.23000.no_meds,,V,,Unmapped
Cholesterol,lab.58.no_meds,lab.21200.no_meds,lab.58.no_meds,V,V,Mapped (Existing)
HDL,lab.58.no_meds,lab.21400.no_meds,lab.58.no_meds,V,V,Mapped (Existing)
HDL ratio,lab.58.no_meds,lab.33300.no_meds,lab.58.no_meds,V,V,Mapped (Existing)
LDL,lab.58.no_meds,lab.21500.no_meds,lab.58.no_meds,V,V,Mapped (Existing)
Glucose,Plasma glucose (mg/dL),lab.20100.no_meds,plasma glucose,V,V,Auto-Mapped
HbA1c,lab.10.no_meds,lab.25203.no_meds,lab.10.no_meds,V,V,Mapped (Existing)
Insulin,Insulin: SI (pmol/L),lab.101800.no_meds,insulin si,V,V,Auto-Mapped
Non-HDL Cholesterol,lab.58.no_meds,lab.520706.no_meds,lab.58.no_meds,V,V,Mapped (Existing)
Triglycerides,Triglycerides (mg/dL),lab.21300.no_meds,triglycerides__mg/dl,V,V,Auto-Mapped
APTT-R,,lab.17703.no_meds,,V,,Unmapped
APTT-sec,,lab.17702.no_meds,,V,,Unmapped
MPV,,lab.110.no_meds,,V,,Unmapped
PDW,,lab.112.no_meds,,V,,Unmapped
Platelets,,lab.105.no_meds,,V,,Unmapped
PT INR,,lab.17601.no_meds,,V,,Unmapped
PT %,,lab.17603.no_meds,,V,,Unmapped
PT sec,,lab.17602.no_meds,,V,,Unmapped
PT control,TB Mitogen control result,lab.20008.no_meds,tb mitogen control result,V,V,Auto-Mapped
WBC,,lab.101.no_meds,,V,,Unmapped
Basophiles,,lab.148.no_meds,,V,,Unmapped
Eosinophils ABS,,lab.146.no_meds,,V,,Unmapped
Lymphocytes,,lab.140.no_meds,,V,,Unmapped
Monocytes,,lab.144.no_meds,,V,,Unmapped
Neutrophils,,lab.142.no_meds,,V,,Unmapped
Large unstained cells,,lab.123.no_meds,,V,,Unmapped
Basophils %,,lab.149.no_meds,,V,,Unmapped
Eosinophils %,,lab.147.no_meds,,V,,Unmapped
Lymphocytes %,,lab.141.no_meds,,V,,Unmapped
Monocytes %,,lab.145.no_meds,,V,,Unmapped
Monocytes %,,lab.203.no_meds,,V,,Unmapped
Neutrophils %,,lab.143.no_meds,,V,,Unmapped
Neutrophils %,,lab.202.no_meds,,V,,Unmapped
Atypical lymphocytes %,,lab.158.no_meds,,V,,Unmapped
Large unstained cells %,,lab.122.no_meds,,V,,Unmapped
MPXI,,lab.124.no_meds,,V,,Unmapped
CRP,High-Sensitivity C-Reactive Protein (hs-CRP) (mg/L),lab.60200.no_meds,high-sensitivity c-reactive protein hs-crp,V,V,Auto-Mapped
Sedimentation rate,,lab.400.no_meds,,V,,Unmapped
Procalcitonin,,lab.111.no_meds,,V,,Unmapped
Calcium,Total calcium (mg/dL),lab.20800.no_meds,total calcium__mg/dl,V,V,Auto-Mapped
Chloride,Chloride (mmol/L),lab.25403.no_meds,chloride,V,V,Mapped (Existing)
Creatinine (blood),Creatinine (mg/dL),lab.20300.no_meds,creatinine__mg/dl,V,V,Auto-Mapped
Creatinine (urine),,lab.41500.no_meds,,V,,Unmapped
Microalbumin/Creatinine ,,lab.35000.no_meds,,V,,Unmapped
Magnesium,,lab.24500.no_meds,,V,,Unmapped
Microalbumin urine 24h,,lab.46700.no_meds,,V,,Unmapped
Sodium,Sodium (mmol/L),lab.25401.no_meds,sodium,V,V,Mapped (Existing)
Urine pH,,lab.9911.no_meds,,V,,Unmapped
