biomarker_id,biomarker_name,mean_r2,min_r2,median_r2,valid_bin_count,mean_slope_m,slope_m_sd,mean_intercept_c,intercept_c_sd,mean_wasserstein_z,min_wasserstein_z,median_wasserstein_z,valid_wasserstein_bin_count,r2_by_age_bin,wasserstein_z_by_age_bin,trim_mode,trim_label,trim_rule
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",0.6386147571532538,0.24675597569671914,0.761984240673037,4,0.029113569135156215,0.046698696758850786,-0.011603780183613587,0.04657432429164141,0.5255458246077925,0.41207000860043946,0.4801035987288883,4,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': 0.7439494946317119}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': 0.24675597569671914}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': 0.7800189867143622}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': 0.7837345715702219}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': None}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': 0.5047954982198419}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': 0.7299060923729541}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': 0.41207000860043946}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': 0.4554116992379347}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': None}]",all,0% each tail,"{'lo': 0.0, 'hi': 1.0}"
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",0.7883787119729271,0.7576538047560827,0.7883787119729271,2,0.001032152567173109,0.00044270610497079796,0.015846800276289298,0.00026160608877576035,0.3955929311114146,0.36473380987873705,0.3955929311114146,2,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': 0.7576538047560827}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': 0.8191036191897714}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': None}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': 0.4264520523440921}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': 0.36473380987873705}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': None}]",trim_3_97,3% each tail,"{'lo': 0.03, 'hi': 0.97}"
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",,,,0,,,,,,,,0,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': None}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': None}]",trim_5_95,5% each tail,"{'lo': 0.05, 'hi': 0.95}"
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",,,,0,,,,,,,,0,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': None}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': None}]",trim_10_90,10% each tail,"{'lo': 0.1, 'hi': 0.9}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",0.9366139062282925,0.8424915437248789,0.9425697383843575,13,808.5249679611878,161.83215019149037,398.0730512493367,313.227697035316,0.22545559022579448,0.08713341784109771,0.20628367671307685,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': 0.9169949852524433}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': 0.8424915437248789}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': 0.9775786665529209}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': 0.9384430406752161}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': 0.8964029599433035}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': 0.9425697383843575}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': 0.9680578539290969}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': 0.8913093719084193}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': 0.9652978401995409}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': 0.9725962303613183}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': 0.9881079608419743}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': 0.9868338774011115}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': 0.8892967117932211}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': 0.301781153452815}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': 0.341934075593387}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': 0.12663845831434578}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': 0.20628367671307685}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': 0.46359072355147174}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': 0.2913332191001239}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': 0.14024710536223145}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': 0.2378092483427245}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': 0.18297219504874787}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': 0.1452476579824733}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': 0.08713341784109771}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': 0.1233777135016611}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': 0.28257402813117194}]",all,0% each tail,"{'lo': 0.0, 'hi': 1.0}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",0.981487157769702,0.9608481640259232,0.988836010834327,13,620.0019906254332,144.45253561173726,740.4176226831898,236.78115034860278,0.10409920727018876,0.06584488080614143,0.08802418374434258,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': 0.9608481640259232}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': 0.9681763704214159}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': 0.9620414005388438}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': 0.988836010834327}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': 0.9769071567907501}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': 0.9925279249762504}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': 0.9895995215231276}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': 0.9922834651872674}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': 0.9913821916688824}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': 0.9752684759426502}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': 0.993797774685066}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': 0.9890266686837781}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': 0.9786379257278445}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': 0.16155022683420087}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': 0.14461402467797652}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': 0.13989508331609177}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': 0.08802418374434258}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': 0.11998117348095388}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': 0.07215252912392342}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': 0.07856625454623137}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': 0.06687048325912806}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': 0.07764124165567937}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': 0.12140845194624754}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': 0.06584488080614143}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': 0.08798420794191222}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': 0.12875695317962485}]",trim_3_97,3% each tail,"{'lo': 0.03, 'hi': 0.97}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",0.9828705089999126,0.9640169415501784,0.9854073479281112,13,560.2792135892876,140.9237304789187,840.3072319250829,258.2674541762008,0.10199018725461281,0.07318870382689156,0.10212109524561472,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': 0.973552933465302}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': 0.9817768567363332}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': 0.9640169415501784}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': 0.9882196089222376}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': 0.986958566246022}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': 0.9854073479281112}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': 0.9872705509659808}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': 0.9781687010020209}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': 0.989702698085128}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': 0.981162053307305}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': 0.9911952227431473}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': 0.9885441427666424}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': 0.9813409932804551}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': 0.13437509255347163}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': 0.11048751249527877}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': 0.13707576652423115}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': 0.0902709365259802}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': 0.09114627230890007}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': 0.10212109524561472}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': 0.08969137787447319}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': 0.10613898481245315}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': 0.07791495844300178}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': 0.1102687219333212}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': 0.07318870382689156}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': 0.08597323307014357}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': 0.1172197786962057}]",trim_5_95,5% each tail,"{'lo': 0.05, 'hi': 0.95}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",0.9810346478318116,0.9685895823187355,0.9801583314871848,13,452.7779756180462,116.50370885079295,1044.174629870754,302.7044573349109,0.1049418693969284,0.07041747065038377,0.10342524310882872,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': 0.9865608361367493}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': 0.9765422613623597}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': 0.9758313830591825}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': 0.9775426585221872}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': 0.9748622356881097}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': 0.9694703233529677}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': 0.9825359750797718}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': 0.9685895823187355}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': 0.9914253355477198}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': 0.9936801431269654}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': 0.9873814940649357}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': 0.9801583314871848}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': 0.9888698620666798}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': 0.09467721301294521}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': 0.12714091170287892}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': 0.11666822385352402}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': 0.11603077801767284}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': 0.12092915070172014}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': 0.13293108554397337}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': 0.10062330844176168}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': 0.12289118506768296}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': 0.07903784432105415}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': 0.07041747065038377}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': 0.08630236207970282}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': 0.10342524310882872}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': 0.09316952565794054}]",trim_10_90,10% each tail,"{'lo': 0.1, 'hi': 0.9}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd lipid adjusted,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) Lipid Adjusted (pg/g)",0.9462172968181407,0.8894027246983782,0.9599959796428366,13,124.43054206036193,19.761588159977972,68.82702361922792,37.16635132074484,0.21742937419303876,0.09212403687624579,0.19586323097900926,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': 0.9090835293198103}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': 0.8894286742090988}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': 0.9869222159765333}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': 0.9373489512778879}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': 0.8894027246983782}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': 0.9622767964918056}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': 0.9727545718684087}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': 0.9544834795787696}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': 0.9600473639634401}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': 0.9668835736456939}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': 0.9599959796428366}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': 0.9795874715980255}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': 0.9326095263651418}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': 0.3309005262664545}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': 0.303167010473532}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': 0.09212403687624579}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': 0.21377580035742924}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': 0.44248879678751585}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': 0.25618829803914744}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': 0.1303234970040475}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': 0.17575352961336288}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': 0.19586323097900926}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': 0.16977573776744076}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': 0.16599279874183087}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': 0.12705908161489743}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': 0.2231695199885898}]",all,0% each tail,"{'lo': 0.0, 'hi': 1.0}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd lipid adjusted,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) Lipid Adjusted (pg/g)",0.9841753317197826,0.9728259996939783,0.9817354528931421,13,96.24784195069233,17.61584576334052,118.9507522823213,31.047858098261692,0.09963664007830621,0.052678776245195943,0.11551915506733715,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': 0.9740760484932459}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': 0.9728259996939783}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': 0.9793100649142957}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': 0.9817354528931421}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': 0.9767700617281669}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': 0.991386228893851}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': 0.9927843703139967}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': 0.9913138374187402}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': 0.9895530957884492}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': 0.9787214648954256}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': 0.9955463156686265}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': 0.993646321077594}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': 0.9766100505776605}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': 0.13029428612291372}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': 0.1372555839031156}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': 0.11551915506733715}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': 0.11773967373353514}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': 0.11956870796987537}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': 0.08352912482666025}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': 0.07348913842779789}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': 0.08154332572063838}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': 0.08534909279526662}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': 0.12024919259241093}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': 0.052678776245195943}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': 0.05841483448433872}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': 0.119645429128895}]",trim_3_97,3% each tail,"{'lo': 0.03, 'hi': 0.97}"
