biomarker_id,biomarker_name,mean_wasserstein_rank,min_wasserstein_rank,median_wasserstein_rank,valid_rank_bin_count,wasserstein_rank_by_age_bin,trim_mode,trim_label,trim_rule
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",7.820001238095524,5.109872066239184,7.820001238095524,2,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': 5.109872066239184}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': 10.530130409951864}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': None}]",trim_3_97,3% each tail,"{'lo': 0.03, 'hi': 0.97}"
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",,,,0,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': None}]",trim_5_95,5% each tail,"{'lo': 0.05, 'hi': 0.95}"
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",,,,0,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': None}]",trim_10_90,10% each tail,"{'lo': 0.1, 'hi': 0.9}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",6.970793454204605,2.3384709336201874,5.889366721476875,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': 13.432490079921422}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': 9.11347711889517}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': 4.579517378302187}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': 2.6452583414652198}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': 4.996537174373088}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': 4.385601386044925}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 6.905939845349101}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 10.36662448269307}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 10.371199651092446}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 10.451722497527438}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 5.144109293898736}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 2.3384709336201874}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 5.889366721476875}]",trim_3_97,3% each tail,"{'lo': 0.03, 'hi': 0.97}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",7.27483581635851,2.5512815111298366,5.8055278294571195,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': 13.921904000466451}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': 9.68607986698439}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': 4.699869692751422}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': 3.085067048699973}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': 5.2678459720755715}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': 4.472562460251655}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 7.312151117907303}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 10.882537981964582}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 10.70391248599383}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 11.036951711608065}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 5.147173933370426}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 2.5512815111298366}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 5.8055278294571195}]",trim_5_95,5% each tail,"{'lo': 0.05, 'hi': 0.95}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",7.810958712188959,2.6668136146920847,6.43952555161083,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': 14.889911963215203}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': 10.277715234600802}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': 5.219066749724577}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': 3.9084197915157883}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': 6.341083745923236}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': 5.287463175812768}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 7.996118515549321}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 11.345976471554607}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 10.963303727984936}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 11.287735705786293}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 4.91932901048603}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 2.6668136146920847}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 6.43952555161083}]",trim_10_90,10% each tail,"{'lo': 0.1, 'hi': 0.9}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd lipid adjusted,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) Lipid Adjusted (pg/g)",5.497190938788373,2.5431961812558823,4.701833445601112,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': 9.250897556151518}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': 7.364406976371884}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': 3.3364861706753013}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': 2.5775402425239777}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': 3.729758154443429}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': 3.4911253006470275}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 5.250939845349102}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 8.655254988009332}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 8.526000412686352}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 7.673033972937274}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 4.3630089575966515}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 2.5431961812558823}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 4.701833445601112}]",trim_3_97,3% each tail,"{'lo': 0.03, 'hi': 0.97}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd lipid adjusted,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) Lipid Adjusted (pg/g)",5.755222779849259,2.82411146889765,4.628225396334049,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': 9.640157968720422}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': 7.850618874076588}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': 3.445151865740194}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': 2.9451698471773486}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': 3.8998541914419413}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': 3.686783181571228}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 5.551734451240636}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 9.273991355656932}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 8.927357667593782}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 8.002468952987376}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 4.142270916602222}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 2.82411146889765}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 4.628225396334049}]",trim_5_95,5% each tail,"{'lo': 0.05, 'hi': 0.95}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd lipid adjusted,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) Lipid Adjusted (pg/g)",6.195589179429959,2.3061967897377613,5.026981323625703,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': 10.608661963215203}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': 8.67194600383157}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': 3.693995068316368}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': 3.715709215951234}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': 4.465808338862889}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': 4.293415556765148}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 6.261305408023516}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 10.000640704775252}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 9.424490705950436}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 8.25888955194014}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 3.814618701594239}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 2.3061967897377613}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 5.026981323625703}]",trim_10_90,10% each tail,"{'lo': 0.1, 'hi': 0.9}"
1 2 3 4 6 7 8 9-octachlorodibenzofuran ocdf,"1,2,3,4,6,7,8,9-Octachlorodibenzofuran (ocdf) (fg/g)",10.366788811022566,2.2282736105655143,9.825050963425138,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': 9.942919898890294}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': 10.892618207564695}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': 4.927359441795872}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': 9.825050963425138}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': 3.9304238461458243}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': 2.8661571650901716}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 2.2282736105655143}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 3.108634079080839}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 9.761123413902864}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 12.769389057850411}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 14.391238015135542}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 21.398715880059164}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 28.72635096378702}]",trim_3_97,3% each tail,"{'lo': 0.03, 'hi': 0.97}"
