biomarker_id,biomarker_name,mean_r2,min_r2,median_r2,valid_bin_count,mean_slope_m,slope_m_sd,mean_intercept_c,intercept_c_sd,mean_wasserstein_z,min_wasserstein_z,median_wasserstein_z,valid_wasserstein_bin_count,r2_by_age_bin,wasserstein_z_by_age_bin,trim_mode,trim_label,trim_rule
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",0.4731499118504158,0.14085005479860968,0.5737255781267331,4,0.533786236628084,0.8457107695745183,-0.05568830420524665,0.11576472185696668,0.6493413438810751,0.5609228036968287,0.6061570219958068,4,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': 0.5584337795491638}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': 0.14085005479860968}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': 0.6042984363495876}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': 0.5890173767043023}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': None}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': 0.6356758042015767}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': 0.8241285278358585}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': 0.5609228036968287}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': 0.5766382397900368}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': None}]",all,0% each tail,"{'lo': 0.0, 'hi': 1.0}"
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",0.6125443858768325,0.5776957019314313,0.6125443858768325,2,0.02287262149468146,0.010207094208515005,0.012530023917618299,0.0020437756509142403,0.5414786207636624,0.5082556789578535,0.5414786207636624,2,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': 0.5776957019314313}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': 0.6473930698222335}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': None}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': 0.5747015625694711}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': 0.5082556789578535}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': None}]",trim_3_97,3% each tail,"{'lo': 0.03, 'hi': 0.97}"
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",,,,0,,,,,,,,0,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': None}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': None}]",trim_5_95,5% each tail,"{'lo': 0.05, 'hi': 0.95}"
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",,,,0,,,,,,,,0,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': None}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': None}]",trim_10_90,10% each tail,"{'lo': 0.1, 'hi': 0.9}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",0.82661867494042,0.6836346815397725,0.8144779914032516,13,20679.709723992917,5457.985364689825,-5921.323496868751,5002.507952930256,0.3524450171073845,0.22816517630714248,0.35193685445997436,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': 0.7799971042930355}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': 0.6836346815397725}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': 0.8739659356647946}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': 0.8044357811858357}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': 0.7537392401909909}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': 0.8144779914032516}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': 0.8533842997770992}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': 0.7869953136442825}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': 0.8612626868837613}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': 0.881674969240381}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': 0.918661796732932}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': 0.9245541473637235}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': 0.8092588263055986}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': 0.4362066914072221}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': 0.4719234949712063}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': 0.29229052190258986}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': 0.35193685445997436}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': 0.5289978969440521}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': 0.4089565494717289}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': 0.3055262041869768}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': 0.35278764607501023}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': 0.3199325787428432}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': 0.29253851975971346}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': 0.22816517630714248}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': 0.22855587972038904}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': 0.36396720844715}]",all,0% each tail,"{'lo': 0.0, 'hi': 1.0}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",0.9100571908326185,0.848517218143524,0.9157083819344327,13,16303.791720972047,4850.754435553298,-4337.1032492617605,3926.210920725802,0.24144785206426353,0.16624614009098565,0.24287809401972899,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': 0.848517218143524}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': 0.8579347898290561}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': 0.8926411983884133}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': 0.9114575529470674}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': 0.8870196938150144}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': 0.9297107137932448}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': 0.9161205458727122}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': 0.9541908897592867}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': 0.921452772592783}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': 0.9002421829678554}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': 0.9512587201665657}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': 0.9444888206140846}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': 0.9157083819344327}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': 0.3283500540194592}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': 0.29516454635926603}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': 0.280488513327625}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': 0.2438527113458071}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': 0.25845191871353623}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': 0.21067195605406666}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': 0.23955742509494918}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': 0.16624614009098565}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': 0.2341544276386936}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': 0.25432248086344034}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': 0.18388418037026888}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': 0.20079962893759884}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': 0.24287809401972899}]",trim_3_97,3% each tail,"{'lo': 0.03, 'hi': 0.97}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",0.9263984485323995,0.8808678176428019,0.9294312260832506,13,14871.595585814466,4671.868469398848,-3854.0382577545633,3669.1862547709497,0.22102186892252568,0.14862113198421917,0.22039258287141075,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': 0.8808678176428019}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': 0.9127306322760307}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': 0.8941537255930344}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': 0.9294312260832506}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': 0.9323028722565341}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': 0.9384114723964468}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': 0.9256607475128837}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': 0.9644068320742331}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': 0.9343206072319858}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': 0.9069977597339804}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': 0.9553663430449788}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': 0.9476349315299749}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': 0.9208948635450556}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': 0.29784346921446425}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': 0.24110545773759556}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': 0.27715806003913646}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': 0.22039258287141075}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': 0.20865710416277106}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': 0.1981013035748912}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': 0.2214052664724509}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': 0.14862113198421917}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': 0.21420090681208648}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': 0.24446735543169124}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': 0.17013661024304608}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': 0.19854003251133728}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': 0.23265501493773333}]",trim_5_95,5% each tail,"{'lo': 0.05, 'hi': 0.95}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",0.9452716566311318,0.9061167563033412,0.9454472381431788,13,12155.76928220204,3867.776070935177,-2818.6839315915954,2869.4854825535976,0.1923295008587458,0.13557467065893053,0.19509728899696935,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': 0.9296780393721017}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': 0.9383691335234843}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': 0.9061167563033412}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': 0.9454472381431788}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': 0.9583860349119928}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': 0.9486056944954114}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': 0.9449226913653885}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': 0.9725806960481461}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': 0.9512047816637833}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': 0.9378353723991617}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': 0.9654967221148191}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': 0.9480182796566669}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': 0.9418700962072368}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': 0.21731538701220057}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': 0.20651242387781393}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': 0.25410357137249207}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': 0.19509728899696935}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': 0.16580340722653372}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': 0.191772696408323}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': 0.19201915450966567}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': 0.13557467065893053}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': 0.1800546768668383}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': 0.2063440944672661}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': 0.1490792593512608}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': 0.20310146197806767}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': 0.20350541843733388}]",trim_10_90,10% each tail,"{'lo': 0.1, 'hi': 0.9}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd lipid adjusted,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) Lipid Adjusted (pg/g)",0.8370140044276624,0.7383794092944915,0.8564846774101021,13,3169.1527880059575,681.0263483238142,-872.581432970819,714.29534998663,0.34341789838779224,0.24406449303703037,0.31445017858071833,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': 0.7761960208144031}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': 0.7383794092944915}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': 0.8827054252663611}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': 0.8031809987943243}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': 0.739808284985202}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': 0.841848901574021}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': 0.8727447931059307}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': 0.855695833551911}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': 0.8564846774101021}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': 0.8646043952888076}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': 0.872566145578071}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': 0.9127054659051699}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': 0.8642617059908176}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': 0.44727533077010007}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': 0.4290629479530257}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': 0.27397818825974757}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': 0.3577931741264002}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': 0.5206913520643954}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': 0.37408537262201597}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': 0.2814151482697755}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': 0.304402047347917}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': 0.32274007895844325}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': 0.31445017858071833}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': 0.2898389911257366}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': 0.24406449303703037}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': 0.30463537592599266}]",all,0% each tail,"{'lo': 0.0, 'hi': 1.0}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd lipid adjusted,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) Lipid Adjusted (pg/g)",0.911294909949135,0.8678025001717539,0.9210911955334039,13,2513.6492790562093,606.7040701485513,-640.2907205809471,565.4729037635916,0.23877223684808813,0.17434011362460108,0.23691685411171104,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': 0.8803299980115702}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': 0.8678025001717539}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': 0.9059185162263143}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': 0.8955601171369233}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': 0.8759357805650358}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': 0.9250212570796346}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': 0.9378018218032477}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': 0.9252546905066057}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': 0.922734008357502}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': 0.8909063966379114}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': 0.9444737784984882}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': 0.9540037688103654}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': 0.9210911955334039}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': 0.28513940391108095}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': 0.30011101595574075}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': 0.25526831803536776}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': 0.2648683561667685}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': 0.27806042569207967}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': 0.21688339857970235}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': 0.20003372806857406}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': 0.21693151706859054}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': 0.23691685411171104}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': 0.2659573693467741}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': 0.18704841754610146}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': 0.17434011362460108}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': 0.22248016091805323}]",trim_3_97,3% each tail,"{'lo': 0.03, 'hi': 0.97}"
