biomarker_id,biomarker_name,mean_wasserstein_rank,min_wasserstein_rank,median_wasserstein_rank,valid_rank_bin_count,wasserstein_rank_by_age_bin,trim_mode,trim_label,trim_rule
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",22.36639839565442,9.10303926515489,22.506323115075382,4,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': 35.34990808731203}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': 26.65414139987287}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': 9.10303926515489}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': 18.358504830277894}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': None}]",all,0% each tail,"{'lo': 0.0, 'hi': 1.0}"
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",14.433379889232823,9.872678057772557,14.433379889232823,2,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': 9.872678057772557}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': 18.99408172069309}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': None}]",trim_3_97,3% each tail,"{'lo': 0.03, 'hi': 0.97}"
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",,,,0,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': None}]",trim_5_95,5% each tail,"{'lo': 0.05, 'hi': 0.95}"
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",,,,0,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': None}]",trim_10_90,10% each tail,"{'lo': 0.1, 'hi': 0.9}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",13.956602326992918,8.49512688851102,13.778776787981501,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': 12.571336658740602}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': 14.036620889003153}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': 13.97369621240309}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': 14.458241903563604}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': 13.778776787981501}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': 13.660518719287808}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 11.051012912143992}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 8.49512688851102}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 8.715977680118165}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 11.470057899090158}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 14.314311042811594}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 21.060993688695063}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 23.8491589685582}]",all,0% each tail,"{'lo': 0.0, 'hi': 1.0}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",12.676936403985057,8.040257595406732,12.439099167567605,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': 9.917083659831116}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': 11.939641719795377}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': 12.720832078843067}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': 13.751453246441994}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': 13.455417489938748}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': 13.456624337225248}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 10.743377842480406}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 8.071880963193813}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 8.040257595406732}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 10.516874030253195}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 12.439099167567605}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 18.651896809804473}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 21.095734311023953}]",trim_3_97,3% each tail,"{'lo': 0.03, 'hi': 0.97}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",12.016237289993823,7.634697537197638,11.435261020983182,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': 8.534828722232666}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': 10.600234120555314}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': 12.123718035853965}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': 13.397798601028981}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': 13.20835435027553}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': 13.380170360087066}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 10.573008306982667}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 7.929319549931526}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 7.634697537197638}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 9.586161465527429}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 11.435261020983182}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 17.76119063211401}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 20.04634206714975}]",trim_5_95,5% each tail,"{'lo': 0.05, 'hi': 0.95}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",10.464452397677475,5.251486450950482,9.717536192649314,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': 5.251486450950482}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': 8.082646165379312}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': 10.34276802445051}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': 12.54829753117876}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': 13.182134654838466}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': 12.794658557546109}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 9.717536192649314}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 8.064219113508061}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 6.682623109592484}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 8.038594470046084}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 9.37740600867281}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 14.392066208150878}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 17.563444682843915}]",trim_10_90,10% each tail,"{'lo': 0.1, 'hi': 0.9}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd lipid adjusted,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) Lipid Adjusted (pg/g)",14.823732810166888,8.303695832040205,14.711153884080327,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': 16.510622373026315}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': 15.689292644728342}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': 15.131747577479045}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': 14.711153884080327}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': 12.982482940734826}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': 14.5420205225388}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 11.376424367318208}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 8.303695832040205}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 9.247938081850293}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 13.034609476544961}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 15.282516293266017}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 22.13547116494071}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 23.760551373621492}]",all,0% each tail,"{'lo': 0.0, 'hi': 1.0}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd lipid adjusted,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) Lipid Adjusted (pg/g)",13.52855053751938,7.694521725815993,13.696819394186887,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': 14.100289766701344}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': 13.696819394186887}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': 13.947169527402739}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': 14.024284391953422}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': 12.461352681619468}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': 14.460397365794996}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 11.006192250294813}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 7.694521725815993}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 8.427265875259092}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 12.017758884866236}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 13.354343573204964}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 19.83160258209374}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 20.8491589685582}]",trim_3_97,3% each tail,"{'lo': 0.03, 'hi': 0.97}"
