biomarker_id,biomarker_name,mean_r2,min_r2,median_r2,valid_bin_count,mean_slope_m,slope_m_sd,mean_intercept_c,intercept_c_sd,mean_wasserstein_z,min_wasserstein_z,median_wasserstein_z,valid_wasserstein_bin_count,r2_by_age_bin,wasserstein_z_by_age_bin,trim_mode,trim_label,trim_rule
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",,,,0,,,,,,,,0,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': None}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': None}]",all,0% each tail,"{'lo': 0.0, 'hi': 1.0}"
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",,,,0,,,,,,,,0,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': None}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': None}]",trim_3_97,3% each tail,"{'lo': 0.03, 'hi': 0.97}"
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",,,,0,,,,,,,,0,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': None}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': None}]",trim_5_95,5% each tail,"{'lo': 0.05, 'hi': 0.95}"
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",,,,0,,,,,,,,0,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': None}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': None}]",trim_10_90,10% each tail,"{'lo': 0.1, 'hi': 0.9}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",0.973851900903384,0.919968390504848,0.987152887472917,7,21706.004688802564,3670.749413879923,-541.2030513970495,665.6214392882094,0.1041594285472971,0.05762402445981982,0.08599648926769109,7,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': 0.9933672169796376}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': 0.919968390504848}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': 0.9936720651195707}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': 0.987152887472917}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': 0.9909689243706542}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': 0.9789006235957428}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': 0.9529331982803189}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': 0.05762402445981982}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': 0.1673964289320264}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': 0.09905666491650042}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': 0.07090038556287312}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': 0.06621320586563731}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': 0.08599648926769109}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': 0.18192880082653146}]",all,0% each tail,"{'lo': 0.0, 'hi': 1.0}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",0.9708878867508179,0.9559156672089479,0.9683821456179907,7,16859.294608351,3751.8336409233125,173.12515699245833,468.7834313199925,0.12177677565264024,0.0701088777161677,0.13971375039655365,7,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': 0.9683821456179907}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': 0.9609620726144374}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': 0.9883520524957501}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': 0.9699703946189706}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': 0.9609307477977564}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': 0.9559156672089479}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': 0.9917021269018733}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': 0.14641226686014489}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': 0.15808078825197952}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': 0.08850924888407903}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': 0.10392595891105072}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': 0.1456865385485062}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': 0.13971375039655365}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': 0.0701088777161677}]",trim_3_97,3% each tail,"{'lo': 0.03, 'hi': 0.97}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",0.9605752195607534,0.9320513862517309,0.9531475985789736,7,15436.126439190424,3620.8701475026464,369.72597809829193,453.88771776552574,0.14716723182803357,0.08507247156947717,0.14669687537084963,7,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': 0.9531475985789736}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': 0.9320513862517309}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': 0.9746923511958304}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': 0.9768381181536129}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': 0.9489487433961828}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': 0.9516764835997946}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': 0.9866718557491495}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': 0.17959221669060332}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': 0.21335931031599534}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': 0.13292774041129335}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': 0.10282162282989624}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': 0.16970038560811987}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': 0.14669687537084963}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': 0.08507247156947717}]",trim_5_95,5% each tail,"{'lo': 0.05, 'hi': 0.95}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",0.9448478609362956,0.9142737292887062,0.9355783184451928,7,12456.880273784876,2826.612740474795,800.230153804094,299.23422279543126,0.17939057672896982,0.11867753182623794,0.173615005081933,7,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': 0.9187458034767463}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': 0.9142737292887062}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': 0.9640507582198884}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': 0.9788468238426138}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': 0.9355783184451928}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': 0.9329204501440586}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': 0.9695191431368633}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': 0.23181352474731698}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': 0.23467722274821}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': 0.1672893634587004}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': 0.11867753182623794}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': 0.19232018389431754}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': 0.173615005081933}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': 0.13734120534607305}]",trim_10_90,10% each tail,"{'lo': 0.1, 'hi': 0.9}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd lipid adjusted,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) Lipid Adjusted (pg/g)",0.9882834627227225,0.9755851900976272,0.9911015246067054,7,3187.8903495138716,581.3880714553973,-69.70859999483318,90.0916550719435,0.08488567880691414,0.05691443155522156,0.08374183525211742,7,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': 0.9865702146784848}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': 0.983711574623758}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': 0.9912331724174677}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': 0.9911015246067054}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': 0.9956441921619436}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': 0.9941383704730716}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': 0.9755851900976272}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': 0.08374183525211742}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': 0.09348304241640616}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': 0.09957972853002016}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': 0.07053966966532998}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': 0.05691443155522156}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': 0.057059967894422726}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': 0.13288107633488097}]",all,0% each tail,"{'lo': 0.0, 'hi': 1.0}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd lipid adjusted,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) Lipid Adjusted (pg/g)",0.9785498323949557,0.9557566366106865,0.9857787002439218,7,2485.6812985343827,549.3867095911754,33.71272228380236,68.1143959570347,0.10803073581522848,0.07286110371791454,0.0966353069087268,7,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': 0.9557566366106865}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': 0.9875846767204407}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': 0.9874625326504597}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': 0.9857787002439218}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': 0.9744734496245717}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': 0.9696429793490567}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': 0.9891498515655535}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': 0.17486375436063972}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': 0.0966353069087268}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': 0.0760372411186029}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': 0.08606150651796665}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': 0.12097557331303735}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': 0.1287806647697115}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': 0.07286110371791454}]",trim_3_97,3% each tail,"{'lo': 0.03, 'hi': 0.97}"
