biomarker_id,biomarker_name,mean_wasserstein_rank,min_wasserstein_rank,median_wasserstein_rank,valid_rank_bin_count,wasserstein_rank_by_age_bin,trim_mode,trim_label,trim_rule
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",,,,0,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': None}]",all,0% each tail,"{'lo': 0.0, 'hi': 1.0}"
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",,,,0,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': None}]",trim_3_97,3% each tail,"{'lo': 0.03, 'hi': 0.97}"
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",,,,0,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': None}]",trim_5_95,5% each tail,"{'lo': 0.05, 'hi': 0.95}"
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",,,,0,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': None}]",trim_10_90,10% each tail,"{'lo': 0.1, 'hi': 0.9}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",17.2162010204652,5.023153137213903,22.030350654567364,7,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 22.15540071147232}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 23.201529225739133}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 22.408594538490537}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 22.030350654567364}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 15.640541671135573}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 10.053837204637542}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 5.023153137213903}]",all,0% each tail,"{'lo': 0.0, 'hi': 1.0}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",19.17166152816602,7.535826182311885,23.068275288215716,7,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 23.068275288215716}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 25.07365971830297}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 24.436721299548445}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 24.435862066281963}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 17.793202204067573}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 11.858083938433559}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 7.535826182311885}]",trim_3_97,3% each tail,"{'lo': 0.03, 'hi': 0.97}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",20.218505638099742,8.585589031861648,23.687969305227277,7,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 23.687969305227277}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 26.08275055029712}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 25.47907947271722}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 25.95439096556635}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 19.00936338249366}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 12.730396758534921}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 8.585589031861648}]",trim_5_95,5% each tail,"{'lo': 0.05, 'hi': 0.95}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",22.53544006090879,11.068857021843046,24.97471930357209,7,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 24.97471930357209}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 27.868965078304313}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 27.596656642484078}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 28.65346272526429}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 21.568505103112173}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 16.016914551781525}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 11.068857021843046}]",trim_10_90,10% each tail,"{'lo': 0.1, 'hi': 0.9}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd lipid adjusted,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) Lipid Adjusted (pg/g)",16.08045891814201,5.511296436287992,19.507273731490443,7,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 20.43562374645943}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 21.65954449291471}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 20.68816443096366}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 19.507273731490443}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 14.743128808692015}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 10.018180780185835}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 5.511296436287992}]",all,0% each tail,"{'lo': 0.0, 'hi': 1.0}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd lipid adjusted,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) Lipid Adjusted (pg/g)",17.8736647254607,7.7825857397318305,21.428035791809368,7,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 21.428035791809368}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 23.245160221212103}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 22.58039946046798}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 21.657173541691797}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 16.938833272028738}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 11.48346505128308}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 7.7825857397318305}]",trim_3_97,3% each tail,"{'lo': 0.03, 'hi': 0.97}"
