biomarker_id,biomarker_name,mean_r2,min_r2,median_r2,valid_bin_count,mean_slope_m,slope_m_sd,mean_intercept_c,intercept_c_sd,mean_wasserstein_z,min_wasserstein_z,median_wasserstein_z,valid_wasserstein_bin_count,r2_by_age_bin,wasserstein_z_by_age_bin,trim_mode,trim_label,trim_rule
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",0.6371913908244627,0.24572330410716303,0.7601092713088706,4,0.02908658317244668,0.046681079430307776,-0.011552633343908112,0.04647699343690678,0.5268094389971812,0.4121375564148591,0.4822021355531552,4,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': 0.7401801941642678}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': 0.24572330410716303}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': 0.7800383484534733}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': 0.7828237165729468}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': None}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': 0.5057500586974846}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': 0.7306959284675554}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': 0.4121375564148591}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': 0.45865421240882587}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': None}]",all,0% each tail,"{'lo': 0.0, 'hi': 1.0}"
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",0.7881001761327215,0.7571806986202899,0.7881001761327215,2,0.0010299877545455575,0.00044038097666129164,0.015834520843435684,0.00026567181159867226,0.3962027873731766,0.3655347076924291,0.3962027873731766,2,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': 0.7571806986202899}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': 0.8190196536451531}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': None}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': 0.4268708670539241}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': 0.3655347076924291}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': None}]",trim_3_97,3% each tail,"{'lo': 0.03, 'hi': 0.97}"
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",,,,0,,,,,,,,0,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': None}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': None}]",trim_5_95,5% each tail,"{'lo': 0.05, 'hi': 0.95}"
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",,,,0,,,,,,,,0,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': None}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': None}]",trim_10_90,10% each tail,"{'lo': 0.1, 'hi': 0.9}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",0.936082302656726,0.8448738232456237,0.9431450068130502,13,810.9469994169541,162.5101687237987,391.7143346755047,316.8057715160263,0.22663054442726144,0.08973122506372375,0.2084791218622581,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': 0.9161358223104141}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': 0.8448738232456237}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': 0.9780051075392844}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': 0.9357319038049988}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': 0.8935971278223132}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': 0.9431450068130502}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': 0.9662266769990858}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': 0.8916241552102779}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': 0.963431549733977}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': 0.9735074270102639}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': 0.9874777476355104}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': 0.985521852978181}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': 0.889791733434459}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': 0.30269897970982973}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': 0.3415236854556116}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': 0.12564864908114706}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': 0.2084791218622581}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': 0.46561474572249306}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': 0.28981285019873526}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': 0.14340613640113736}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': 0.23871093280937533}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': 0.18778679054826858}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': 0.14294922000809968}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': 0.08973122506372375}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': 0.12734399584097955}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': 0.2824907448527398}]",all,0% each tail,"{'lo': 0.0, 'hi': 1.0}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",0.9814923523044113,0.9603853082391738,0.9882932486108723,13,622.080818065501,145.19403486090138,735.0786924088087,236.55703790451977,0.1041595981307144,0.06642884894984676,0.09218956931418919,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': 0.9603853082391738}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': 0.9684976906750687}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': 0.9630693435331555}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': 0.989572415455579}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': 0.97638155440088}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': 0.9928109135915605}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': 0.9895023427705225}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': 0.9922045457554606}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': 0.9907696836889517}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': 0.9750337368426082}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': 0.993508944696988}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': 0.9882932486108723}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': 0.9793708516965287}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': 0.16128566883628248}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': 0.14470487766982426}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': 0.13813432502220735}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': 0.08512742139323928}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': 0.12165821562594274}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': 0.07020366739639965}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': 0.07993856219846718}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': 0.06642884894984676}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': 0.08083483719908141}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': 0.12054576612498226}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': 0.06659516580451277}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': 0.09218956931418919}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': 0.12642785016431185}]",trim_3_97,3% each tail,"{'lo': 0.03, 'hi': 0.97}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",0.9829676368120862,0.9649648085411839,0.9856207268317975,13,562.219406948579,141.72860722231886,835.2742199648691,257.58303734404683,0.10157379884976483,0.0731942988048265,0.10084435277684645,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': 0.9738276261241936}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': 0.9800618152993413}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': 0.9649648085411839}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': 0.9893438447003656}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': 0.9875530692199397}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': 0.9856207268317975}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': 0.9875696805547024}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': 0.9781018349520639}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': 0.9894501045384001}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': 0.9813151020998915}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': 0.991125624787647}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': 0.9878515227165224}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': 0.9817935181910716}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': 0.13375890127881168}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': 0.11404381124903096}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': 0.1352608354374027}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': 0.0864513533030746}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': 0.08902515289516462}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': 0.10084435277684645}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': 0.08873069304156925}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': 0.10574981633610309}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': 0.07954559414786003}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': 0.10868312457922849}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': 0.0731942988048265}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': 0.09004111241112575}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': 0.11513033878589887}]",trim_5_95,5% each tail,"{'lo': 0.05, 'hi': 0.95}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",0.9813577476695111,0.9685315737356324,0.9796435292999672,13,454.43441044313687,117.22389421280734,1039.9556177923942,300.653445071166,0.1038941127236499,0.06979752555670997,0.10655914442772471,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': 0.9868844329410894}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': 0.9748732316175064}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': 0.9763745137260713}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': 0.9796435292999672}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': 0.9762167295391069}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': 0.9696934120877244}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': 0.9836880889015828}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': 0.9685315737356324}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': 0.9917245191506546}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': 0.9937378062185871}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': 0.9879488286193769}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': 0.9793319752305263}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': 0.9890020786358195}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': 0.09480169457201013}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': 0.1306874703999823}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': 0.11492740349527711}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': 0.11110325457367061}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': 0.11685735461332131}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': 0.13158919940234676}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': 0.0981324367559586}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': 0.1225200802679314}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': 0.07736025898049595}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': 0.06979752555670997}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': 0.08424302437802778}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': 0.10655914442772471}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': 0.0920446179839921}]",trim_10_90,10% each tail,"{'lo': 0.1, 'hi': 0.9}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd lipid adjusted,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) Lipid Adjusted (pg/g)",0.9456921899318034,0.886536763973481,0.9581085680277966,13,124.77298060971995,19.731680975316866,67.8571397890899,37.71462845808141,0.21858607098142976,0.09117346480176812,0.20080038576945533,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': 0.9074518104228517}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': 0.8919515418875449}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': 0.9870763078148724}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': 0.9352311297947111}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': 0.886536763973481}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': 0.9628617911719339}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': 0.9709746677954301}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': 0.9548217380234025}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': 0.9581085680277966}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': 0.9681599126362965}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': 0.9588821517258573}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': 0.9783683482625735}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': 0.9335737375766907}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': 0.3321145798517646}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': 0.3018802824159994}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': 0.09117346480176812}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': 0.21573133362172847}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': 0.4449806575256193}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': 0.25474463344683396}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': 0.1338244634017401}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': 0.17580595199235377}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': 0.20080038576945533}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': 0.16734436952194987}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': 0.1685367641323391}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': 0.1317405548570367}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': 0.2229414814199981}]",all,0% each tail,"{'lo': 0.0, 'hi': 1.0}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd lipid adjusted,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) Lipid Adjusted (pg/g)",0.984013381007191,0.9709904409858394,0.9820752561740211,13,96.54094218901307,17.644959815653564,118.15274297709033,30.802132958636932,0.09993192693716159,0.05321543464504637,0.11420483381927109,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'r2': 0.9734698829869466}, {'age_bin': '25-29', 'age_mid': 27.5, 'r2': 0.9709904409858394}, {'age_bin': '30-34', 'age_mid': 32.5, 'r2': 0.9798742013779532}, {'age_bin': '35-39', 'age_mid': 37.5, 'r2': 0.9820752561740211}, {'age_bin': '40-44', 'age_mid': 42.5, 'r2': 0.9759832893710099}, {'age_bin': '45-49', 'age_mid': 47.5, 'r2': 0.991686327457337}, {'age_bin': '50-54', 'age_mid': 52.5, 'r2': 0.9928733202129217}, {'age_bin': '55-59', 'age_mid': 57.5, 'r2': 0.991433927155762}, {'age_bin': '60-64', 'age_mid': 62.5, 'r2': 0.9889672167837793}, {'age_bin': '65-69', 'age_mid': 67.5, 'r2': 0.9793723282965769}, {'age_bin': '70-74', 'age_mid': 72.5, 'r2': 0.9955917231756551}, {'age_bin': '75-79', 'age_mid': 77.5, 'r2': 0.992819058500351}, {'age_bin': '80-84', 'age_mid': 82.5, 'r2': 0.9770369806153288}]","[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_z': 0.130403562600118}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_z': 0.14054807810726322}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_z': 0.11420483381927109}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_z': 0.11578209150809939}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_z': 0.12076276943706843}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_z': 0.0815215753603695}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_z': 0.07421147545909788}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_z': 0.0811794564230141}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_z': 0.08836712977174671}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_z': 0.11810678128448336}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_z': 0.05321543464504637}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_z': 0.06243590461957926}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_z': 0.11837595714794316}]",trim_3_97,3% each tail,"{'lo': 0.03, 'hi': 0.97}"
