biomarker_id,biomarker_name,mean_wasserstein_rank,min_wasserstein_rank,median_wasserstein_rank,valid_rank_bin_count,wasserstein_rank_by_age_bin,trim_mode,trim_label,trim_rule
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",8.598809134604378,6.251451004662915,8.751235784735417,4,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': 10.641313964283764}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': 8.368100481761871}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': 6.251451004662915}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': 9.134371087708962}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': None}]",all,0% each tail,"{'lo': 0.0, 'hi': 1.0}"
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",7.892063434989629,6.074707914238775,7.892063434989629,2,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': 6.074707914238775}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': 9.709418955740482}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': None}]",trim_3_97,3% each tail,"{'lo': 0.03, 'hi': 0.97}"
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",,,,0,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': None}]",trim_5_95,5% each tail,"{'lo': 0.05, 'hi': 0.95}"
1 1 1-trichloroethane result,"1,1,1-Trichloroethane Result",,,,0,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': None}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': None}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': None}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': None}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': None}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': None}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': None}]",trim_10_90,10% each tail,"{'lo': 0.1, 'hi': 0.9}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",6.295560596554446,2.321983662086036,5.524222398159841,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': 12.433362459723662}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': 8.184172200315768}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': 4.333378816826855}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': 2.321983662086036}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': 4.197222267089471}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': 3.7236279031577113}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 6.242929910821559}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 9.070533201876295}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 9.276757594805897}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 9.257740103190404}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 4.736716569197169}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 2.539640667957134}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 5.524222398159841}]",all,0% each tail,"{'lo': 0.0, 'hi': 1.0}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",7.445773326003092,1.9633821115973744,6.154397429129826,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': 15.075689372049753}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': 10.159464710012813}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': 5.620363289801999}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': 2.7129404305083042}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': 4.484419637892938}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': 4.154939209866129}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 7.159163670908569}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 10.852239109493222}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 11.287584870997225}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 11.662153722358124}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 6.154397429129826}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 1.9633821115973744}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 5.508315673423915}]",trim_3_97,3% each tail,"{'lo': 0.03, 'hi': 0.97}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",8.190211358165755,2.3778749218505784,7.186040927772671,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': 16.4579443096482}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': 11.48873300269574}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': 6.224576698400132}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': 3.245397895526794}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': 4.862472787439152}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': 4.276443367084573}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 7.813317568583496}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 11.835196896307679}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 12.352896594905975}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 13.180949652262024}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 7.186040927772671}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 2.3778749218505784}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 5.170903033677787}]",trim_5_95,5% each tail,"{'lo': 0.05, 'hi': 0.95}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",10.045285111826692,4.363381470962735,9.129915421929514,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': 19.76697208742598}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': 14.006361207823943}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': 8.154739818666028}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': 4.363381470962735}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': 6.123478341785167}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': 5.172126622192891}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 9.129915421929514}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 13.61855734410414}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 14.464668004870155}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 15.878893949344251}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 9.61148334466125}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 5.258449433542741}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 5.039679406438189}]",trim_10_90,10% each tail,"{'lo': 0.1, 'hi': 0.9}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd lipid adjusted,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) Lipid Adjusted (pg/g)",4.987118380942319,2.274212870115792,4.543508550637307,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': 8.550596635901917}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': 6.528929936822776}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': 3.2033342013727424}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': 2.274212870115792}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': 3.091742588896241}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': 2.971376548509075}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 4.543508550637307}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 7.609432102876746}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 7.594503348855044}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 6.734663180113483}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 3.9596276243929793}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 3.018279575548448}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 4.752331788207594}]",all,0% each tail,"{'lo': 0.0, 'hi': 1.0}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd lipid adjusted,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) Lipid Adjusted (pg/g)",5.893117049812152,1.76933275589594,5.261415532982353,13,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': 10.892483265179525}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': 8.410460398107347}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': 4.369439842075003}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': 2.537835244199938}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': 3.098880663613558}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': 3.2286492003412874}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 5.543317568583497}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 9.018517608268963}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 9.431971515277112}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 8.88346519776796}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 5.261415532982353}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 1.76933275589594}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 4.164752855265485}]",trim_3_97,3% each tail,"{'lo': 0.03, 'hi': 0.97}"
